miRNA	5637	SV_HUC_1	T24	UM_UC_3
hsa-miR-181c-3p	174.4179691	257	110.7584562	16.16178459
hsa-miR-192-5p	711.127596	1060	799.5873883	230.1114116
hsa-miR-335-5p	1013.659673	1541	163.7452971	3.695428372
hsa-miR-589-3p	6.063298367	10	18.03148458	7.73857093
hsa-miR-181c-5p	59.22793122	99	23.70864611	17.84642732
hsa-miR-580-3p	19.98736888	34	16.13909741	14.47714186
hsa-miR-2682-5p	6.063298367	11	82.37264857	55.24549599
hsa-miR-125a-3p	199.7344609	370	175.0996202	88.93835064
hsa-miR-106a-5p	4.797473775	9	1	121.2834911
hsa-miR-378a-5p	30.11396561	60	46.41729223	338.9393321
hsa-miR-129-2-3p	1	2	1	116.2295629
hsa-miR-561-5p	7.329122959	17	21.81625894	5.380071104
hsa-miR-940	14.92407051	36	16.13909741	14.47714186
hsa-miR-618	1	3	6.677161528	1
hsa-miR-338-3p	1	4	1	1.673857093
hsa-miR-20b-5p	1	16	1	59.28863854
hsa-miR-3620-3p	11.12659673	1	1	1.336928546
hsa-miR-3174	14.92407051	3	1	1.673857093
hsa-miR-3187-3p	14.92407051	3	1	1.336928546
hsa-miR-34b-5p	4.797473775	1	1	1
hsa-miR-1276	8.594947551	2	1	1.336928546
hsa-miR-4747-3p	7.329122959	2	1	2.010785639
hsa-miR-5699-3p	7.329122959	2	2.892387176	6.72778529
hsa-miR-345-3p	3.531649184	1	1	1.336928546
hsa-miR-3064-5p	3.531649184	1	1	1.673857093
hsa-miR-4728-5p	3.531649184	1	2.892387176	1.673857093
hsa-miR-92b-5p	8.594947551	3	2.892387176	3.358499825
hsa-miR-19a-3p	1402.267823	574	686.0441577	1223.713695
hsa-miR-760	4.797473775	2	4.784774352	1.673857093
hsa-miR-3143	4.797473775	2	1	3.021571279
hsa-miR-4664-3p	4.797473775	2	1	1
hsa-miR-503-3p	2.265824592	1	1	1
hsa-miR-642a-5p	2.265824592	1	1	2.010785639
hsa-miR-1227-3p	2.265824592	1	1	1
hsa-miR-1914-5p	2.265824592	1	1	1.673857093
hsa-miR-2682-3p	2.265824592	1	2.892387176	1
hsa-miR-3138	2.265824592	1	1	1
hsa-miR-3164	2.265824592	1	1	1.336928546
hsa-miR-3619-3p	2.265824592	1	4.784774352	1
hsa-miR-4657	2.265824592	1	1	1
hsa-miR-4700-5p	2.265824592	1	1	1
hsa-miR-4745-5p	2.265824592	1	1	1
hsa-miR-4750-5p	2.265824592	1	1	1
hsa-miR-5680	2.265824592	1	2.892387176	1.673857093
hsa-miR-6765-3p	2.265824592	1	1	1
hsa-miR-6776-3p	2.265824592	1	1	1
hsa-miR-6777-5p	2.265824592	1	1	1.336928546
hsa-miR-6791-3p	2.265824592	1	4.784774352	2.684642732
hsa-miR-6792-5p	2.265824592	1	1	1
hsa-miR-6814-3p	2.265824592	1	1	1
hsa-miR-6885-3p	2.265824592	1	1	2.010785639
hsa-miR-7111-3p	2.265824592	1	1	1
hsa-miR-3176	6.063298367	3	1	1
hsa-miR-4728-3p	3.531649184	2	6.677161528	4.032356918
hsa-miR-4747-5p	3.531649184	2	1	1
hsa-miR-6787-3p	3.531649184	2	4.784774352	1.336928546
hsa-miR-6515-5p	8.594947551	5	1	2.010785639
hsa-miR-20a-3p	71.88617714	43	19.92387176	75.79813732
hsa-miR-6853-3p	4.797473775	3	1	2.347714186
hsa-miR-19b-1-5p	18.72154429	12	8.569548704	23.23728407
hsa-miR-7976	8.594947551	6	1	8.075499476
hsa-miR-589-5p	479.4816957	344	619.8106066	186.6476291
hsa-miR-450a-2-3p	6.063298367	5	4.784774352	1
hsa-miR-939-5p	6.063298367	5	1	2.010785639
hsa-miR-33b-5p	4.797473775	4	1	5.043142558
hsa-miR-548al	3.531649184	3	1	3.695428372
hsa-miR-5699-5p	3.531649184	3	1	4.706214011
hsa-miR-6733-3p	3.531649184	3	1	1.336928546
hsa-miR-3940-3p	17.45571969	15	10.46193588	9.423213662
hsa-miR-1229-3p	2.265824592	2	1	2.010785639
hsa-miR-4700-3p	2.265824592	2	1	1
hsa-miR-4749-5p	2.265824592	2	1	2.010785639
hsa-miR-4786-5p	2.265824592	2	1	1
hsa-miR-6508-3p	2.265824592	2	1	1.673857093
hsa-miR-6836-3p	2.265824592	2	1	1.336928546
hsa-miR-25-3p	9302.279101	8599	6310.218845	4819.078215
hsa-miR-324-3p	26.31649184	25	16.13909741	39.4098543
hsa-miR-1249	13.65824592	13	2.892387176	7.73857093
hsa-miR-93-5p	8409.872763	8161	5008.256468	8112.554757
hsa-miR-18b-3p	1	1	1	1
hsa-miR-18b-5p	1	1	1	1
hsa-miR-19b-2-5p	1	1	1	1
hsa-miR-20b-3p	1	1	1	5.716999651
hsa-miR-92a-2-5p	1	1	1	1.336928546
hsa-miR-96-3p	1	1	1	1
hsa-miR-106a-3p	1	1	1	1
hsa-miR-130b-5p	1	1	1	1
hsa-miR-149-3p	1	1	1	1
hsa-miR-150-3p	1	1	1	1
hsa-miR-150-5p	1	1	1	1
hsa-miR-196b-3p	1	1	2.892387176	1
hsa-miR-208a-3p	1	1	1	1
hsa-miR-208a-5p	1	1	1	1
hsa-miR-208b-3p	1	1	1	1
hsa-miR-208b-5p	1	1	1	1
hsa-miR-219a-1-3p	1	1	1	1
hsa-miR-320e	1	1	1	1
hsa-miR-363-5p	1	1	1	1.673857093
hsa-miR-378a-3p	1	1	1	1
hsa-miR-378b	1	1	1	1.673857093
hsa-miR-378i	1	1	1	1
hsa-miR-431-3p	1	1	1	1
hsa-miR-432-3p	1	1	1	1
hsa-miR-433-5p	1	1	1	1
hsa-miR-449b-3p	1	1	1	1
hsa-miR-449b-5p	1	1	1	1
hsa-miR-449c-3p	1	1	1	1
