bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-22-5474-01A	TCGA-22-5474-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5474-01A	TCGA-22-5474-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5474-11A	TCGA-22-5474-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5474-11A	TCGA-22-5474-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5477-01A	TCGA-22-5477-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5477-01A	TCGA-22-5477-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5477-01A	TCGA-22-5477-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5477-01A	TCGA-22-5477-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5477-11A	TCGA-22-5477-11A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5477-11A	TCGA-22-5477-11A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5478-01A	TCGA-22-5478-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5478-01A	TCGA-22-5478-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5478-01A	TCGA-22-5478-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5478-01A	TCGA-22-5478-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5478-11A	TCGA-22-5478-11A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5478-11A	TCGA-22-5478-11A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-22-5478-11A	TCGA-22-5478-11A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-22-5478-11A	TCGA-22-5478-11A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5480-01A	TCGA-22-5480-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5480-01A	TCGA-22-5480-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5480-01A	TCGA-22-5480-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5480-01A	TCGA-22-5480-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5480-11A	TCGA-22-5480-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5480-11A	TCGA-22-5480-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5482-01A	TCGA-22-5482-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5482-01A	TCGA-22-5482-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5482-01A	TCGA-22-5482-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5482-01A	TCGA-22-5482-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5482-11A	TCGA-22-5482-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5482-11A	TCGA-22-5482-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5482-11A	TCGA-22-5482-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5485-01A	TCGA-22-5485-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5485-01A	TCGA-22-5485-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5485-01A	TCGA-22-5485-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5485-01A	TCGA-22-5485-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5485-11A	TCGA-22-5485-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5485-11A	TCGA-22-5485-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5489-01A	TCGA-22-5489-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5489-01A	TCGA-22-5489-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5489-01A	TCGA-22-5489-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5489-01A	TCGA-22-5489-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5489-11A	TCGA-22-5489-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5489-11A	TCGA-22-5489-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5489-11A	TCGA-22-5489-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5491-01A	TCGA-22-5491-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5491-01A	TCGA-22-5491-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5491-01A	TCGA-22-5491-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5491-01A	TCGA-22-5491-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5491-11A	TCGA-22-5491-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5491-11A	TCGA-22-5491-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5491-11A	TCGA-22-5491-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5492-01A	TCGA-22-5492-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5492-01A	TCGA-22-5492-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5492-01A	TCGA-22-5492-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5492-01A	TCGA-22-5492-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5492-11A	TCGA-22-5492-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5492-11A	TCGA-22-5492-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5234-01A	TCGA-34-5234-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5234-01A	TCGA-34-5234-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-34-5234-01A	TCGA-34-5234-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-34-5234-01A	TCGA-34-5234-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5234-10A	TCGA-34-5234-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-34-5234-10A	TCGA-34-5234-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-37-5819-01A	TCGA-37-5819-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-37-5819-01A	TCGA-37-5819-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-37-5819-01A	TCGA-37-5819-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-37-5819-01A	TCGA-37-5819-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-37-5819-10A	TCGA-37-5819-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
