cp	tt	nt	np
NA	0.568661749553723	0.670783865033428	0.0016025641025641	0.00171338628785437
NA	0.236680911680912	0.518518518518518	0.00323493472249019	0.0277777777777778
NA	0.803935185185185	1	NA	0.0256410256410256
NA	0.836666666666667	1	0.00785296574770259	0.00586419753086419
NA	0.816666666666667	1	0.00231481481481481	NA
NA	1	1	0.0372730229238131	NA
NA	0.670539485766758	0.642708333333333	0.003125	0.00902777777777778
NA	0.555084325396825	1	0.00183150183150183	NA
NA	0.527777777777778	1	0.0072463768115942	NA
NA	0.402083333333333	1	0.0908496732026144	0.0125
NA	0.747936507936508	0.710114379084968	NA	0.0825793650793648
NA	0.00740740740740741	0.828333333333333	0.00462354938058263	NA
NA	0.804398148148148	0.511904761904762	0.0029146021568056	0.0203703703703704
NA	0.647453850676073	0.576190476190476	0.0881721981721982	0.0476190476190476
NA	0.705432098765432	0.738095238095238	0.00674603174603174	0.0555555555555556
NA	0.464986151275625	1	0.00221496005809732	NA
NA	0.566646707992862	0.510416666666667	0.00555555555555555	NA
NA	0.787301587301587	0.726222275055227	0.0508466445636119	NA
NA	0.586435786435786	0.666666666666667	NA	0.0291666666666667
NA	0.573002645502646	1	0.003125	0.0125
NA	1	0.5125	0.0183911903010882	0.0146825396825397
NA	0.581428571428571	0.888888888888889	NA	0.00444444444444444
NA	0.875	0.977142857142857	0.00625	0.0133333333333333
NA	0.884437636666739	0.672486772486772	0.0267431184502741	NA
NA	0.841428571428571	0.822222222222222	NA	0.0133333333333333
NA	0.763191137566138	1	NA	0.00478260869565217
NA	0.811309523809524	1	NA	0.0125
NA	0.433333333333333	1	NA	0.0555555555555556
NA	0.833333333333333	0.979166666666667	0.170229468599034	0.0421296296296296
NA	0.723148148148148	1	0.0644444444444444	0.0555555555555556
NA	0.777777777777778	0.541666666666667	0.0942028985507246	NA
NA	0.833333333333333	1	NA	0.00999999999999998
NA	0.350505050505051	0.919047619047619	0.00617283950617284	0.0833333333333333
NA	0.606428571428571	0.916666666666667	NA	0.0223765432098765
NA	0.724988662131519	0.958333333333333	0.00606060606060606	0.106666666666667
NA	1	1	0.00925925925925926	NA
NA	1	1	NA	0.0574074074074074
NA	0.524074074074074	0.510416666666667	0.00555555555555556	0.0128205128205128
NA	0.852507215007215	0.504768270944742	NA	0.0072463768115942
NA	0.711666666666667	1	NA	0.0958333333333335
NA	0.770833333333333	1	0.0449888246545314	0.0666666666666667
NA	0.667989417989418	0.777777777777778	NA	0.0424382716049383
NA	0.722222222222222	0.822222222222222	0.00225225225225225	NA
NA	1	1	0.0308948700253048	NA
NA	0.743055555555556	1	0.0666666666666667	0.0707010582010582
NA	0.712121212121212	0.541666666666667	NA	0.0694444444444444
NA	0.720793303388662	0.586470588235294	0.00179138321995464	0.014058473930676
NA	1	1	0.0704656862745098	0.0555555555555556
NA	0.681481481481481	1	0.0261973641915783	NA
NA	0.669090909090909	0.512	0.0133333333333333	0.00722222222222222
NA	0.75	1	0.0476190476190476	NA
NA	0.814814814814815	0.510185185185185	0.00333333333333333	0.0138888888888889
NA	0.708	1	0.0118055555555556	0.00999999999999998
NA	1	1	0.00161290322580645	NA
NA	0.756342592592593	0.8	0.00175438596491228	NA
NA	0.106807760141094	0.530952380952381	NA	0.068888888888889
NA	0.725925925925926	0.722222222222222	0.0842484926787252	NA
NA	0.53010582010582	0.750476190476191	0.0021509009009009	NA
NA	0.685185185185185	1	0.068432774954514	NA
NA	0.821428571428571	1	0.0424648268398268	0.0824074074074075
NA	1	1	0.0019047619047619	NA
NA	0.880952380952381	1	0.0925559947299078	NA
NA	0.472222222222222	1	0.0327708486182441	0.0555555555555556
NA	0.617283950617284	0.857142857142857	0.00256410256410256	NA
NA	0.680555555555556	0.666666666666667	0.0199624326759052	NA
NA	0.888888888888889	0.638888888888889	0.00546448087431694	NA
NA	0.815625	1	0.00952380952380952	0.0238095238095238
NA	1	0.508333333333333	0.00689655172413793	0.114166666666667
NA	0.492283950617284	1	0.0045045045045045	NA
NA	0.718253968253968	0.666666666666667	0.00546448087431694	0.0666666666666667
NA	0.616666666666667	0.509259259259259	NA	0.0111111111111111
NA	0.737547472135707	0.656666666666667	0.0280988368921617	0.105804713804714
NA	0.527777777777778	1	0.0207563439270756	0.0555555555555556
NA	NA	0.5125	0.00114942528735632	NA
NA	0.464583333333333	1	NA	0.0555555555555556
NA	1	0.527777777777778	NA	0.00769230769230769
NA	0.933333333333333	1	0.00285714285714286	NA
NA	0.638888888888889	1	0.00617283950617284	NA
NA	0.561190476190476	0.918928571428572	0.00574828559903187	0.166666666666667
NA	0.768911971795357	0.583350168350168	0.0289013732833958	NA
NA	0.00833333333333333	0.539880952380952	0.0235710459476539	NA
NA	0.680555555555556	1	0.00508660464412676	0.0555555555555556
NA	0.719391127391127	0.623333333333333	0.00369695353247985	0.0055074555074555
NA	0.50625	1	0.00112359550561798	0.0126358695652174
NA	0.524287749287749	0.569444444444445	0.083174908571734	0.0944444444444445
NA	1	1	0.00793039509342462	NA
NA	0.492063492063492	1	0.00470543948804818	NA
NA	1	1	0.00104166666666667	NA
NA	NA	1	0.00757575757575758	NA
NA	0.779418413679035	0.802619047619048	0.0101397773039564	0.00512820512820513
NA	0.833333333333333	1	0.00847457627118644	0.0277777777777778
NA	0.716346500721501	0.522569064707223	0.316572326816229	0.0552359997029114
NA	0.749455337690632	0.583333333333333	0.098740440845704	0.0740740740740741
NA	1	0.944444444444444	NA	0.00521885521885522
NA	0.830961114908483	1	NA	0.00833333333333333
NA	0.411407407407407	0.506666666666667	0.0862962962962963	0.03
NA	0.632740340602061	0.891601731601732	NA	0.0152222222222222
NA	1	1	0.00317460317460317	0.00999999999999998
NA	0.05	1	0.0037037037037037	0.025
NA	0.73825592397021	0.613571428571429	0.00350877192982456	0.00341859621859622
NA	0.717857142857143	0.627777777777778	0.0114718614718615	0.0163461538461538
NA	0.56984126984127	0.506172839506173	0.0453199282986517	NA
NA	0.494108669108669	1	0.0104166666666667	NA
NA	0.744270820770574	0.992592592592593	0.00236985236985237	0.002147681815201
NA	0.69010582010582	0.555555555555555	0.0366666666666667	0.0625
NA	0.613888888888889	0.506933850463262	0.0935885167464115	NA
NA	0.76886396431851	0.70505354294828	0.00229885057471264	NA
NA	0.671666666666667	1	NA	0.0944444444444447
NA	1	1	NA	0.0555555555555556
NA	0.397813571304411	0.772778332778333	NA	0.0183396178984414
NA	0.751984126984127	0.638888888888889	0.0795659862376504	0.0138888888888889
NA	0.788105158730159	1	NA	0.025
NA	0.922619047619048	1	0.00411522633744856	0.0555555555555556
NA	0.671666666666667	0.513425925925926	0.00943396226415094	0.076388888888889
NA	0.723359584859585	0.627830687830688	0.0123467730025107	0.00555555555555555
NA	0.671111111111111	1	0.124242424242424	0.0277777777777778
NA	0.916666666666667	1	0.00205128205128205	NA
NA	0.531902472527473	0.555092592592593	0.00740740740740741	0.036250734861846
NA	0.556990740740741	1	0.0459236326109391	NA
NA	0.292474241158452	0.538287638287638	0.0856863087473509	0.0416666666666667
NA	1	1	NA	0.0555555555555556
NA	0.833333333333333	1	0.00196078431372549	NA
NA	0.699074074074074	1	0.0765873015873016	NA
NA	0.986458333333333	1	NA	0.0208333333333333
NA	0.613492063492064	1	0.0216779279279279	NA
NA	0.64346916971917	1	NA	0.00763888888888888
NA	0.708333333333333	1	NA	0.0148148148148148
NA	1	1	0.016468253968254	NA
NA	0.722662913650309	0.958333333333333	0.00454545454545455	0.00944444444444443
NA	0.753265306122449	1	0.00575122356634962	0.025
NA	0.633653846153846	0.75	NA	0.0125
NA	0.668136390358613	0.685185185185185	0.00823045267489712	0.0324074074074074
NA	0.888801383801384	0.505555555555556	NA	0.0103768115942029
NA	0.916984126984127	1	0.00303030303030303	NA
NA	0.882222222222222	0.712962962962963	0.0571520350564467	NA
NA	0.533333333333333	1	0.0040650406504065	NA
NA	0.174166666666667	0.59156223893066	0.00206766917293233	0.0125
NA	1	0.759259259259259	0.00238095238095238	NA
NA	0.523802308802309	1	0.0319123071292171	NA
NA	0.904040404040404	0.501851851851852	NA	0.0277777777777778
NA	0.752525252525253	1	0.0117511425010386	NA
NA	0.835185185185185	1	0.0589247311827957	0.1
NA	0.598547601745982	0.613323996265173	0.00204081632653061	0.0555555555555556
NA	0.529756293089626	1	0.0327826956553946	0.0581018518518519
NA	0.742808207873997	0.562765567765568	0.00720873126483881	0.00833333333333332
NA	0.958333333333333	1	0.0016260162601626	0.00555555555555555
NA	0.78968253968254	0.569444444444444	0.00314465408805031	NA
NA	0.791666666666667	1	0.0028735632183908	0.166666666666667
NA	0.447891931340074	1	0.00250726153131172	NA
NA	1	1	0.00256410256410256	0.00555555555555555
NA	1	0.95	0.008	NA
NA	0.876190476190476	1	0.00206896551724138	0.0416666666666667
NA	0.905618887285554	1	0.111111111111111	0.0201923076923077
NA	0.713744403744404	1	0.0127717391304348	NA
NA	0.662962962962963	1	0.046474358974359	NA
NA	0.669135802469136	0.75	0.00436117936117936	0.0111111111111111
NA	0.684367965367965	0.744338624338624	0.00112994350282486	0.00965956558061822
NA	NA	1	0.00426723200695803	0.0333333333333333
NA	0.621666666666667	1	NA	0.0143162393162393
NA	0.460648148148148	1	0.00354609929078014	NA
NA	0.286838624338624	1	NA	0.00740740740740741
NA	0.516424798533792	0.511897907404733	0.00185185185185185	0.0222222222222222
NA	0.57051282051282	0.638888888888889	NA	0.0972222222222223
NA	0.737654320987654	1	0.0173423423423423	0.0416666666666667
NA	0.491890782828283	0.508497357490004	NA	0.00833333333333333
NA	0.461352094528565	1	0.00896358543417367	0.00481481481481481
NA	0.724840330609561	0.518518518518518	0.00825082508250825	NA
NA	1	1	0.00650252525252525	NA
NA	1	1	0.0555555555555556	NA
NA	NA	1	0.0132671734234234	NA
NA	0.835858585858586	0.504409171075838	0.00606060606060606	0.0277777777777778
NA	0.405161736411736	0.553126262626262	0.0387205387205387	0.113131313131313
NA	1	0.822222222222222	NA	0.0925925925925927
NA	0.745672198172198	1	0.00140350877192982	0.0111111111111111
NA	0.877180615680616	1	0.0349079025549614	0.0111111111111111
NA	1	1	NA	0.0111111111111111
NA	0.583333333333333	1	0.028673835125448	NA
NA	0.529224965706447	1	0.00298507462686567	0.0454545454545455
NA	0.827777777777778	1	0.00641025641025641	NA
NA	0.641666666666667	0.732363315696649	NA	0.0555555555555556
NA	0.721064814814815	1	NA	0.0166666666666667
NA	0.814814814814815	0.838383838383838	0.0267094017094017	0.0648148148148148
NA	0.824700160753017	0.672486772486772	0.00198019801980198	0.0222222222222222
NA	0.944444444444444	0.833333333333333	NA	0.0138888888888889
NA	0.790625	1	NA	0.01875
NA	0.506119456523868	0.651227795193312	NA	0.00238095238095238
NA	0.476388888888889	0.504166666666667	0.00935323984526111	NA
NA	0.717227891156463	1	NA	0.025
NA	0.63495115995116	0.624400871459695	0.0732804232804233	0.0185185185185185
NA	0.586656746031746	0.560606060606061	0.0153388278388278	NA
NA	0.761111111111111	1	0.00694444444444444	NA
NA	0.841358024691358	0.822222222222222	0.0277777777777778	0.0138888888888889
NA	NA	1	0.190238773572107	0.0416666666666667
NA	0.702116685264863	0.598690476190476	0.00138888888888889	0.00444444444444444
NA	0.776111111111111	1	0.00228310502283105	0.12037037037037
NA	0.875	0.722916666666667	0.0144927536231884	0.0277777777777778
NA	0.517721369539551	0.711923076923077	0.00192996967190515	NA
NA	0.465297619047619	0.541666666666667	NA	0.025
NA	0.55	1	0.00158730158730159	NA
NA	0.603497942386831	0.718386243386243	0.0120478180823008	0.0074074074074074
NA	0.586772486772487	1	0.00307692307692308	0.00476190476190476
NA	0.690788840788841	0.593333333333333	NA	0.00952380952380952
NA	0.701883116883117	0.702136752136752	0.00476190476190476	NA
NA	0.611288524713447	1	0.000852838310465429	0.00412605588044185
NA	0.793004535147392	1	0.0105882352941176	0.00466746316208682
NA	0.577514707514708	0.617435897435897	0.00229885057471264	0.00811965811965812
NA	1	1	0.043359961268458	NA
NA	0.743650793650794	0.60218253968254	0.00549450549450549	0.0937500000000001
NA	0.785714285714286	0.738095238095238	0.00793650793650794	NA
NA	0.71994708994709	0.533018461007592	0.0185185185185185	0.0333333333333333
NA	0.771173469387755	1	NA	0.0125
NA	0.887380952380952	1	0.00149253731343284	NA
NA	1	1	0.00305810397553517	NA
NA	0.6875	0.75	0.0712814078136134	NA
NA	0.760416666666667	1	0.0242673992673993	0.038425925925926
NA	0.8125	0.50625	NA	0.0125
NA	0.7	1	NA	0.0168350168350168
NA	0.41281179138322	1	0.00462962962962963	NA
NA	0.906666666666667	0.583333333333333	NA	0.0138888888888889
NA	0.586289682539682	0.50625	0.0112099978766646	NA
NA	0.527083333333333	1	0.00374725274725274	NA
NA	0.55982905982906	1	0.0128205128205128	NA
NA	0.61246395324479	0.598690476190476	NA	0.00884443564182127
NA	0.63905291005291	1	NA	0.0560049019607844
NA	0.896	1	0.00294117647058824	0.0555555555555556
NA	0.835416666666667	0.541666666666667	NA	0.0341880341880342
NA	0.752777777777778	1	0.0561468008255934	0.0462962962962963
NA	0.85	0.509259259259259	0.0128205128205128	NA
NA	0.629206349206349	0.99375	0.0581582006341573	0.105437710437711
NA	1	0.533333333333333	0.0232646834477498	NA
NA	0.59332078178232	1	0.0529164533196791	NA
NA	0.398478835978836	0.518518518518518	0.115079365079365	0.0902777777777778
NA	0.741287971287971	1	0.00767377201112141	NA
NA	0.508333333333333	1	NA	0.0883333333333335
NA	0.730686813186813	0.541666666666667	0.00378787878787879	NA
NA	0.707083333333333	0.907142857142857	0.000888888888888889	0.00666666666666667
NA	0.305059523809524	1	0.0501004749725977	0.025
NA	0.789126770959478	1	0.00065359477124183	0.00179325801302131
NA	1	0.988888888888889	NA	0.00444444444444444
NA	0.703703703703704	0.583333333333333	0.00158730158730159	0.0277777777777778
NA	0.82991452991453	0.556584362139918	NA	0.0601851851851852
NA	1	1	0.0036144578313253	NA
NA	0.50625	1	0.0293548387096774	NA
NA	0.421097136619628	1	0.00281913837601747	0.00978835978835978
NA	0.632586130282209	1	0.00317460317460317	0.00544973544973545
NA	1	1	0.00168350168350168	NA
NA	0.595138888888889	0.541666666666667	NA	0.0773843880986738
NA	0.733333333333333	1	0.00275500910746812	NA
NA	0.615277777777778	1	0.0222222222222222	NA
NA	0.68921176046176	1	0.002710027100271	NA
NA	0.555952380952381	1	NA	0.0498236331569665
NA	1	0.822222222222222	NA	0.0548629148629149
NA	0.833333333333333	0.527777777777778	NA	0.0277777777777778
NA	0.798911872441284	0.531628884755483	0.0350244379276637	0.0416213416213417
NA	0.733333333333333	1	NA	0.0487654320987654
NA	0.71875	1	0.00454545454545455	0.01125
NA	0.814718614718615	0.666666666666667	0.0158730158730159	NA
NA	0.75	0.711538461538462	0.00141843971631206	NA
NA	0.822094907407407	0.583333333333333	NA	0.0450727513227513
NA	0.624499230927802	0.502564102564103	0.000900900900900901	0.00277777777777778
NA	0.538888888888889	1	0.0397709570123363	NA
NA	0.0333333333333333	0.888888888888889	0.012037037037037	0.0708333333333335
NA	0.590793650793651	0.75	0.0032520325203252	0.00757575757575757
NA	0.677689594356261	1	NA	0.0208333333333333
NA	0.972222222222222	0.555555555555555	0.0603708367981969	0.025
NA	0.603333333333333	1	0.00142857142857143	0.0125
NA	0.854497354497355	0.506944444444444	NA	0.0416666666666667
NA	0.700181818181818	0.694285714285715	0.0600486470051687	0.0125
NA	0.633333333333333	1	0.0633426529978254	NA
NA	0.692361111111111	1	0.00940639269406393	NA
NA	0.443992991135848	1	0.00257575757575757	NA
NA	0.701333333333333	1	0.00399295014504487	0.0266666666666667
NA	1	0.877431457431457	0.0823719074213545	NA
NA	0.6375	0.558333333333333	NA	0.0479166666666666
NA	0.919484367484368	0.537343070170395	0.0363029524487858	0.0119047619047619
NA	0.443357716054848	1	0.000666666666666667	0.00163962136578769
NA	0.431535947712418	0.666666666666667	0.402438411261941	0.0337301587301587
NA	1	0.836243386243386	0.10565463871678	0.00246913580246914
NA	0.281382783882784	0.501041666666667	0.00416666666666667	NA
NA	0.703703703703704	0.75	NA	0.0555555555555556
NA	0.744383394383394	0.583333333333333	0.00450498575498575	NA
NA	1	1	0.0300023540489642	0.065
NA	1	1	NA	0.0277777777777778
NA	0.761428571428571	1	0.011453984300329	NA
NA	0.768888888888889	0.583333333333333	0.00505050505050505	NA
NA	0.872222222222222	1	0.00882352941176471	NA
NA	0.755291005291005	0.503472222222222	0.00444444444444444	NA
NA	0.574074074074074	0.784722222222222	0.0356493152816682	NA
NA	0.702323232323232	0.506944444444444	0.00187265917602996	NA
NA	0.515852974186307	0.685185185185185	NA	0.00526315789473684
NA	0.818806936408084	0.988888888888889	NA	0.0214857818631404
NA	0.791615226337449	0.822222222222222	0.00648872180451129	NA
NA	0.714393939393939	0.501071428571429	NA	0.00392156862745098
NA	0.813194444444444	1	0.00264550264550265	NA
NA	0.73531746031746	0.527777777777778	0.169855334198694	0.0555555555555556
NA	0.603703703703704	0.569444444444445	0.110449735449735	0.0277777777777778
NA	0.768014597836026	1	0.00218579234972678	0.00099502487562189
NA	0.538527731457728	0.502380952380952	0.195583439331068	0.00826871099316919
NA	NA	1	0.00574712643678161	NA
NA	0.884103242436576	0.751376705653021	NA	0.00714285714285714
NA	1	1	0.0555555555555556	NA
NA	0.569444444444445	0.518518518518518	0.00520833333333333	NA
NA	0.767117404622668	0.587125220458554	NA	0.00777777777777777
NA	0.746969696969697	0.534166666666667	0.00893246187363834	0.0111111111111111
NA	0.375	0.638888888888889	0.0142276422764228	0.0462962962962963
NA	1	1	0.0571844431987877	NA
NA	0.765719696969697	0.679166666666667	0.00612244897959184	0.166666666666667
NA	0.58875	0.738095238095238	0.0147583947583948	0.025
NA	0.988095238095238	1	0.0128438511326861	NA
NA	0.593416768416768	0.588669590643275	0.0378545545596237	0.0555555555555556
NA	0.857142857142857	1	0.0028735632183908	0.108024691358025
NA	0.92037037037037	0.545833333333333	0.00181578947368421	0.0333333333333333
NA	0.766666666666667	0.888888888888889	0.0516650016650017	NA
NA	0.627902961236295	0.738677248677249	0.00196078431372549	NA
NA	0.888888888888889	0.819444444444444	0.0184811827956989	0.0277777777777778
NA	0.72953391053391	1	NA	0.0163650793650794
NA	0.814814814814815	1	0.0196078431372549	0.111111111111111
NA	0.842592592592593	1	NA	0.00888888888888887
NA	0.67964583023094	0.801322751322751	0.00235294117647059	0.0046598228663446
NA	0.366666666666667	0.809982174688057	0.0297770272383275	NA
NA	0.815077457264957	0.822222222222222	0.00925925925925926	NA
NA	0.273998824704707	0.748937728937729	0.00303030303030303	0.00222222222222222
NA	0.498148148148148	1	0.0153308610427747	NA
NA	0.318988494280376	0.565497835497835	0.00151515151515152	0.00304232804232804
NA	NA	0.51047619047619	NA	0.025
NA	0.614540343915344	0.506666666666667	0.183187134502924	0.00971053101487883
NA	0.996111111111111	1	NA	0.00666666666666667
NA	0.515555555555556	0.670692640692641	0.00253968253968254	0.00238095238095238
NA	0.242249503968254	0.58859649122807	NA	0.0277777777777778
NA	0.504761904761905	1	NA	0.00632716049382715
NA	1	1	0.00450152905198777	0.05
NA	1	1	0.00476190476190476	NA
NA	0.672420634920635	1	0.00806451612903226	0.0277777777777778
NA	0.723778344671202	1	0.003	0.0108333333333334
NA	0.998333333333333	0.983333333333333	NA	0.0488888888888889
NA	1	1	0.00844615624027388	NA
NA	0.766616402116402	1	0.00266666666666667	0.00954263329263328
NA	0.722222222222222	0.681065830721003	0.025	0.00555555555555555
NA	0.772222222222222	0.506944444444444	0.00219298245614035	NA
NA	0.960714285714286	1	0.0125828558588923	NA
NA	0.608134920634921	1	0.0256410256410256	0.0332491582491583
NA	0.8	0.972222222222222	0.0233585858585858	0.0638838013838014
NA	0.702222222222222	1	0.00404040404040404	0.00617283950617284
NA	0.799545454545454	1	0.00979602791196995	NA
NA	0.735690235690236	1	0.0290988420100431	NA
NA	0.374371693121693	1	NA	0.0277777777777778
NA	1	1	0.00565570873100035	NA
NA	0.472554379776602	1	0.0112205801860974	0.00571428571428571
NA	0.727204906204906	0.784318181818182	0.00465116279069767	NA
NA	1	1	0.0266639388979815	0.11489898989899
NA	0.593323031135531	0.77952380952381	0.0690836940836941	0.00999999999999998
NA	0.532142857142857	0.50625	0.195573550826613	0.0222222222222222
NA	1	1	NA	0.0555555555555556
NA	1	1	0.0037037037037037	0.0606060606060606
NA	0.453452128326078	0.505714285714286	0.0251311292651278	NA
NA	0.515555555555556	1	NA	0.0555555555555556
NA	0.914814814814815	0.638888888888889	NA	0.0555555555555556
